x,y,yaw,v
13.5019,1099.9993,1.0474,0.0000
14.0128,1100.8828,1.0470,2.9954
14.5565,1101.8223,1.0468,4.3191
15.1313,1102.8157,1.0466,5.3466
15.6503,1103.7123,1.0464,6.0084
16.2106,1104.6792,1.0461,6.6179
16.7650,1105.6355,1.0457,7.1554
17.2943,1106.5481,1.0455,7.6292
17.8880,1107.5695,1.0481,7.7958
18.4715,1108.5798,1.0530,7.7414
19.0474,1109.5901,1.0529,7.7472
19.6523,1110.6486,1.0525,8.1967
20.1650,1111.5448,1.0521,8.6692
20.6988,1112.4781,1.0519,9.0781
21.2596,1113.4579,1.0517,9.4780
21.8528,1114.4940,1.0513,9.8817
22.4664,1115.5663,1.0512,10.2796
23.1030,1116.6783,1.0513,10.6786
23.6049,1117.5547,1.0579,11.0071
24.1247,1118.4785,1.0598,11.3321
24.6421,1119.4042,1.0599,11.5974
25.1753,1120.3560,1.0602,11.9279
25.7349,1121.3538,1.0603,12.2549
26.2943,1122.3513,1.0601,12.5154
26.8878,1123.4099,1.0599,12.8393
27.4798,1124.4655,1.0598,13.1651
28.0871,1125.5476,1.0596,13.4260
28.7202,1126.6747,1.0594,13.7535
29.3648,1127.8209,1.0593,14.0844
30.0248,1128.9940,1.0590,14.3534
30.6942,1130.1849,1.0587,14.6782
31.3804,1131.4062,1.0582,14.9940
32.0835,1132.6577,1.0580,15.3082
32.5738,1133.5297,1.0580,15.4978
33.0692,1134.4098,1.0581,15.6887
33.5724,1135.3037,1.0581,15.8810
34.0855,1136.2153,1.0582,16.1414
34.5819,1137.0972,1.0582,16.3376
35.1023,1138.0214,1.0581,16.5356
35.6332,1138.9639,1.0581,16.7341
36.1699,1139.9160,1.0581,16.9310
36.7194,1140.8912,1.0580,17.1897
37.2741,1141.8752,1.0578,17.3791
37.8449,1142.8882,1.0576,17.5628
38.4067,1143.8864,1.0572,17.7900
38.9640,1144.8763,1.0567,17.9711
39.5457,1145.9089,1.0567,18.1619
40.1333,1146.9513,1.0568,18.3586
40.7469,1148.0388,1.0570,18.6344
41.3267,1149.0654,1.0571,18.8433
41.9309,1150.1342,1.0571,19.0411
42.5455,1151.2213,1.0570,19.2360
43.1655,1152.3180,1.0568,19.4898
43.7926,1153.4277,1.0567,19.6794
44.4410,1154.5752,1.0565,19.8710
45.0801,1155.7062,1.0564,20.0651
45.7265,1156.8497,1.0563,20.3263
46.3938,1158.0303,1.0563,20.5233
47.0522,1159.1945,1.0562,20.7193
47.7255,1160.3849,1.0561,20.9778
48.4104,1161.5955,1.0560,21.1705
49.0942,1162.8046,1.0560,21.3625
49.7736,1164.0059,1.0559,21.5515
50.4782,1165.2517,1.0559,21.8046
51.1953,1166.5198,1.0559,21.9974
51.9013,1167.7675,1.0560,22.1949
52.6178,1169.0331,1.0560,22.3906
53.3549,1170.3350,1.0559,22.5770
54.0917,1171.6357,1.0559,22.5438
54.8399,1172.9567,1.0560,22.5112
55.5602,1174.2290,1.0560,22.4684
56.2936,1175.5244,1.0560,22.4372
57.0056,1176.7825,1.0559,22.4059
57.7339,1178.0692,1.0560,22.3642
58.4661,1179.3628,1.0560,22.3328
