x,y,yaw,v
8.3176,-48.58,-0.0455,11
9.3522,-48.6279,-0.0398,11
10.3749,-48.6477,0.0257,11
11.4394,-48.5762,0.1175,11
12.4702,-48.4259,0.1577,11
13.5085,-48.258,0.1669,11
14.535,-48.0812,0.1976,11
15.5578,-47.8605,0.2543,11
16.5508,-47.5805,0.3336,11
17.5358,-47.2133,0.4304,11
18.4406,-46.7736,0.5337,11
19.4817,-46.1196,0.6668,11
20.2691,-45.4829,0.754,11
20.9908,-44.7829,0.8055,11
21.7083,-44.0177,0.8313,11
22.3824,-43.2715,0.8434,11
23.1627,-42.3907,0.8729,11
23.8403,-41.575,0.913,11
24.522,-40.6765,0.9687,11
25.2701,-39.5543,1.0516,11
25.8318,-38.5521,1.1313,11
26.3315,-37.4736,1.2271,11
26.7028,-36.4589,1.3326,11
27.0041,-35.2828,1.4612,11
27.1568,-34.0795,1.5624,11
27.169,-32.978,1.5942,11
27.1359,-31.914,1.5827,11
27.1179,-30.7888,1.5508,11
27.143,-29.7231,1.5355,11
27.1943,-28.4912,1.5369,11
27.2344,-27.3892,1.5577,11
27.2468,-26.3553,1.5719,11
27.2409,-25.2556,1.5742,11
27.2363,-24.1026,1.571,11
27.2392,-22.7446,1.5635,11
27.249,-21.7199,1.5631,11
27.2594,-20.4369,1.5625,11
27.2683,-19.3083,1.5624,11
27.2774,-18.1974,1.5625,11
27.2858,-17.1704,1.5625,11
27.2953,-15.9897,1.5606,11
27.3077,-14.7411,1.56,11
27.322,-13.4623,1.56,11
27.3358,-12.2063,1.56,11
27.349,-10.9693,1.56,11
27.3628,-9.672,1.5601,11
27.3765,-8.3918,1.5601,11
27.3902,-7.1027,1.5602,11
27.4028,-5.9095,1.5602,11
27.4153,-4.7132,1.5602,11
27.4268,-3.619,1.5602,11
27.4387,-2.4808,1.554,11
27.4538,-1.3569,1.5467,11
27.4882,0.0426,1.5462,11
27.5232,1.4015,1.5461,11
27.5574,2.7689,1.5462,11
27.5905,4.1274,1.5461,11
27.623,5.4556,1.5462,11
27.6568,6.8325,1.5462,11
27.6909,8.222,1.5462,11
27.7239,9.5682,1.5462,11
27.7579,10.9538,1.5462,11
27.7916,12.3261,1.5462,11
27.824,13.6693,1.5471,11
27.859,15.084,1.5589,11
27.8752,16.4463,1.5601,11
27.8878,17.8034,1.5601,11
27.9012,19.1475,1.56,11
27.9156,20.4751,1.5602,11
27.929,21.6969,1.5604,11
27.9413,22.8307,1.5605,11
27.9525,23.8721,1.5605,11
27.9642,24.9688,1.5607,11
27.976,26.0571,1.5701,11
27.9768,27.1119,1.5815,11
27.9614,28.1689,1.5867,11
27.9417,29.4007,1.6173,11
27.8945,30.418,1.638,11
27.8163,31.4842,1.646,11
27.7399,32.5022,1.6722,11
27.6406,33.5087,1.7175,11
27.4929,34.5185,1.7826,11
27.2548,35.6118,1.8711,11
26.9536,36.5734,1.9351,11
26.5484,37.5995,1.9717,11
26.0487,38.7494,1.9784,11
25.6132,39.7593,1.9899,11
25.1739,40.7526,2.0256,11
24.6997,41.7188,2.0848,11
24.1755,42.6374,2.1664,11
23.5815,43.5042,2.2705,11
22.9236,44.2801,2.393,11
22.0976,45.0336,2.537,11
21.1723,45.6526,2.6484,11
20.1951,46.1552,2.717,11
19.1889,46.5933,2.7479,11
18.1794,47.0061,2.7579,11
17.1648,47.4174,2.7875,11
16.1513,47.7853,2.8065,11
15.151,48.1294,2.8374,11
14.1392,48.4385,2.8461,11
13.1264,48.7446,2.8567,11
12.1361,49.0338,2.8663,11
11.1489,49.3117,2.8903,11
10.1573,49.559,2.8955,11
9.1721,49.8067,2.9198,11
8.0923,50.0457,2.9739,11
7.0951,50.2018,3.0101,11
5.8907,50.3508,3.0186,11
4.8174,50.4853,3.0197,11
3.7016,50.6225,3.0201,11
2.7034,50.7457,3.0378,11
1.4812,50.8677,3.0867,11
0.3829,50.9159,3.1117,11
-0.7027,50.9408,3.1129,11
-1.7823,50.973,3.1131,11
-2.8523,51.0057,3.1311,11
-3.9179,51.015,-3.1095,11
-4.9581,50.9709,-3.0836,11
-5.9992,50.9036,-3.0647,11
-7.0398,50.8229,-3.0201,11
-8.1472,50.6773,-2.9425,11
-9.1288,50.4678,-2.8456,11
-10.2562,50.0904,-2.7371,11
-11.2392,49.6432,-2.6811,11
-12.1939,49.1579,-2.6233,11
-13.1064,48.6259,-2.537,11
-13.9481,48.0226,-2.4224,11
-14.7,47.3291,-2.3101,11
-15.4197,46.4885,-2.2315,11
-16.0702,45.6195,-2.1611,11
-16.6876,44.6602,-2.0826,11
-17.1803,43.7569,-2.0203,11
-17.6146,42.8344,-1.9678,11
-17.9981,41.8989,-1.9324,11
-18.3481,40.9473,-1.9248,11
-18.6968,39.9975,-1.9247,11
-19.0492,39.0477,-1.9249,11
-19.4245,38.0338,-1.923,11
-19.8115,36.9787,-1.9052,11
-20.1957,35.8521,-1.8983,11
-20.5458,34.8108,-1.8971,11
-20.9061,33.7502,-1.8903,11
-21.2674,32.6582,-1.8687,11
-21.6094,31.5337,-1.8468,11
-21.9624,30.2572,-1.8439,11
-22.2341,29.277,-1.8416,11
-22.5504,28.149,-1.8239,11
-22.8324,27.056,-1.8204,11
-23.1159,25.9345,-1.8114,11
-23.3929,24.809,-1.7981,11
-23.6872,23.5191,-1.795,11
-23.9368,22.4311,-1.7781,11
-24.1586,21.3701,-1.775,11
-24.3855,20.2601,-1.7746,11
-24.6107,19.1777,-1.7602,11
-24.8464,17.9403,-1.7529,11
-25.0507,16.8133,-1.7529,11
-25.2429,15.7673,-1.7528,11
-25.4526,14.6312,-1.7525,11
-25.6627,13.4882,-1.7526,11
-25.8534,12.4504,-1.7526,11
-26.0481,11.3909,-1.7526,11
-26.2508,10.2877,-1.7526,11
-26.4583,9.1586,-1.7526,11
-26.64,8.1694,-1.7526,11
-26.8572,6.9871,-1.7526,11
-27.0699,5.83,-1.7526,11
-27.2868,4.6494,-1.7526,11
-27.4747,3.6269,-1.7526,11
-27.657,2.6354,-1.7526,11
-27.8394,1.6428,-1.7526,11
-28.0714,0.38,-1.7526,11
-28.3172,-0.9575,-1.7526,11
-28.5504,-2.2263,-1.7526,11
-28.7772,-3.461,-1.7526,11
-28.9657,-4.4874,-1.7526,11
-29.1674,-5.5855,-1.7526,11
-29.3489,-6.575,-1.7526,11
-29.5392,-7.6134,-1.7525,11
-29.7346,-8.6805,-1.7525,11
-29.9205,-9.695,-1.7526,11
-30.1246,-10.8063,-1.7526,11
-30.3213,-11.8766,-1.7526,11
-30.5266,-12.9937,-1.7526,11
-30.7122,-14.0037,-1.7526,11
-30.9386,-15.2362,-1.7526,11
-31.1264,-16.2581,-1.7526,11
-31.314,-17.2786,-1.7526,11
-31.517,-18.3834,-1.7526,11
-31.7166,-19.4692,-1.7526,11
-31.9221,-20.5875,-1.7526,11
-32.1531,-21.8395,-1.7421,11
-32.3384,-22.8931,-1.7188,11
-32.5005,-24.0086,-1.7132,11
-32.6488,-25.0707,-1.7132,11
-32.81,-26.195,-1.7132,11
-32.9563,-27.2033,-1.7029,11
-33.1048,-28.2996,-1.6701,11
-33.2088,-29.3176,-1.6204,11
-33.2613,-30.3799,-1.5704,11
-33.2683,-31.6074,-1.5347,11
-33.2742,-32.608,-1.503,11
-33.2787,-33.6751,-1.4584,11
-33.1619,-34.7023,-1.3748,11
-32.9252,-35.6832,-1.2615,11
-32.5358,-36.7294,-1.1723,11
-32.1185,-37.6704,-1.1441,11
-31.6461,-38.7009,-1.1125,11
-31.1609,-39.6292,-1.0685,11
-30.6139,-40.5968,-1.0169,11
-30.0637,-41.4323,-0.9249,11
-29.4045,-42.223,-0.7811,11
-28.641,-42.8834,-0.5893,11
-27.7504,-43.3783,-0.4198,11
-26.7782,-43.7563,-0.3403,11
-25.7972,-44.0972,-0.3232,11
-24.8366,-44.4053,-0.3065,11
-23.8442,-44.7206,-0.3065,11
-22.8656,-45.0305,-0.3025,11
-21.8995,-45.3192,-0.2642,11
-20.8904,-45.5839,-0.2483,11
-19.9121,-45.8214,-0.2142,11
-18.8912,-46.0344,-0.198,11
-17.8902,-46.2164,-0.1688,11
-16.8477,-46.3949,-0.1687,11
-15.8391,-46.566,-0.1687,11
-14.8111,-46.741,-0.1687,11
-13.7884,-46.9149,-0.1687,11
-12.7954,-47.0838,-0.1687,11
-11.8044,-47.2525,-0.1687,11
-10.8098,-47.4217,-0.1687,11
-9.8235,-47.5895,-0.1687,11
-8.7843,-47.766,-0.1684,11
-7.7687,-47.9345,-0.1635,11
-6.7783,-48.0982,-0.1635,11
-5.7594,-48.2659,-0.1635,11
-4.7146,-48.438,-0.1635,11
-3.7041,-48.6044,-0.1635,11
-2.7058,-48.7689,-0.1635,11
-1.6729,-48.939,-0.1635,11
-0.6706,-49.1047,-0.1602,11
0.3389,-49.2529,-0.1365,11
1.3468,-49.3782,-0.0992,11
2.3607,-49.4602,-0.0341,11
3.4024,-49.4561,0.0208,11
4.418,-49.4242,0.0494,11
5.4341,-49.3682,0.0818,11
6.4294,-49.2622,0.1098,11
7.4428,-49.1516,0.1111,11
